NATIONALITY,COUNTRY_DESCRIPTION,AGE_GROUP,IF_TRAVEL_ALONE,TRAVELLING_WITH,AGE_GROUP1_SIZE (<18),AGE_GROUP2_SIZE (18-24),AGE_GROUP3_SIZE (25-44),AGE_GROUP4_SIZE (45-64),AGE_GROUP5_SIZE (65+),NO_FEMALE,NO_MALE,PURPOSE_CODE,PURPOSE_OTHER,ACTIVITY_MAIN,ACTIVITY_OTHERS,INFO_SOURCE,INFO_SOURCE_OTHERS,INFO_RADIO_TV_WEB,TOUR_ARRANGEMENT,PAC_TRANSPORT_INT,PAC_ACCOMODATION,PAC_FOOD,PAC_TRANSPORT_TZ,PAC_SIGHTSEEING,PAC_GUIDED_TOUR,PAC_INSURANCE,PAC_OTHER_ITEM,PACKAGE_COST,IF_GROUP_PACKAGE,NIGHTS_SPENT,NIGHTS_MAINLAND,NIGHTS_ZANZIBAR,CURRENCY1,CURRENCY2,SPENT_AMOUNT_TZ,ACCOMODATION,ACC_HOTEL,ACC_OTHERS,FOOD_DRINK,TRANS_AIR,TRANS_ROAD,TRANS_WATER,TRANS_RAILWAY,TRANS_RENTAL,COST_TRANSPORT_TZ,EXP_CULT_SERVICE,EXP_SPORT,EXP_SIGHTSEEING,MOUNTAIN_CLIMBING,HUNTING,GATE_FEES,VISA_TAXES,EXP_SHOPPING,EXP_OTHER,EXP_OTHER_DETAIL,IF_GROUP_BREAKDOWN,PAYMENT_MODE,PAYMENT_MODE_OTHERS,TZ_COST_COMPARISON,IF_FIRST_TRIP_TZ,MOST_IMPRESSING_TZ1,MOST_IMPRESSING_TZ2,MOST_IMPRESSING_TZ3,MOST_IMPRESSING_TZ4,IMPROVEMENT_AREAS1,IMPROVEMENT_AREAS2,IMPROVEMENT_AREAS3,IMPROVEMENT_AREAS4,OTHER1,OTHER2,OTHER3,VERIFICATION_FLAG,TRAVEL_ELSE_AFRICA
SPANISH,KENYA,45-64,YES,Alone,0,0,0,0,0,0,1,Business,,business,,Others (please specify),BEN COMING TO TZ SINCE 1995,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,3,3,,TZS,4Others (please specify)0000,,4Others (please specify)0000,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,Cash,,,No,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,,,,,,0,
SWISS,SWIZERLAND,45-64,NO,With Other Friends/Relatives,0,0,0,1,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,13,0,,USD,407Others (please specify),,"1,000",200,"1,500",160,21Others (please specify),0,0,0,,0,200,0,0,0,200,240,300,0,,Yes,Cash,,,No,Friendly People,,,Friendly People, Improve on RoadsOthers (please specify),,,,,,,0,
AUSTRALIAN,AUSTRALIA,45-64,YES,With Spouse,0,0,0,1,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,50,Yes,20,10,3,AUD,AUD,"10,000",,0,"4,000","3,000","3,000",0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,Yes, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...) Improve on Roads"," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)", Improve on Roads,,,,,0,
SOUTH AFRICAN,SOUTH AFRICA,45-64,NO,With Spouse,0,0,0,1,0,1,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,6,0,,USD,"1,500",,0,0,"1,500",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,Yes,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,,,,,0,
GERMAN,GERMANY,45-64,NO,With Other Friends/Relatives,1,0,1,Others (please specify),0,5,6,Business,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,,2Others (please specify)00,No,11,Others (please specify),3,EUR,EUR,300,,0,200,0,0,0,0,0,0,,0,0,60,0,0,0,0,40,0,,No,Cash,,,No, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,,,,,0,
GERMAN,SWIZERLAND,25-44,YES,Alone,0,0,0,0,0,1,0,Visiting Friends and Relatives,,Wildlife tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,15,0,,USD,"1,700",,0,0,"1,700",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,Cash,,,No,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)0",,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,<1Others (please specify),YES,Alone,0,0,0,0,0,1,0,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,14,0,,USD,"1,000",,400,0,400,0,0,0,0,0,,0,0,0,0,0,0,100,100,0,,Yes,Cash,,,Yes,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)0",,,,,,,0,
CANADIAN,CANADA,65+,YES,Alone,0,0,0,0,0,0,1,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,5,0,,USD,400,,0,0,400,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,Cash,,,No,Friendly People,,,Friendly People,Slow airport procedures/ slow processing of VISA at Entry,,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,45-64,YES,Alone,0,0,0,0,0,0,1,Business,,Wildlife tourism0,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,Others (please specify),0,,USD,"2,500",,"1,300",0,"1,200",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,No,Friendly People,,,Friendly People, Improve on Roads Improve on Security/Safety,,,,,,,0,
ITALIAN,ITALY,25-44,YES,,0,0,0,0,0,0,1,Meetings and Conference,,Beach tourism,,"Newspaper, magazines,brochures",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,4,0,,TZS,"200,000",,"150,000",0,"50,000",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,No,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife,Wider AcceptabSlow/poor customer services,,,,,,,0,
