nationality,country_description,age_group,if_travel_alone,travelling_with,no_female,no_male,total_travellers,purpose_code,purpose_other,activity_main,activity_others,info_source,info_source_others,info_radio_tv_web,tour_package,pac_transport_int,pac_accomodation,pac_food,pac_transport_tz,pac_sightseeing,pac_guided_tour,pac_insurance,currency1,package_cost,if_group_package,nights_mainland,nights_zanzibar,currency2,spent_amount_tz,acc_hotel,acc_others,food_drink,trans_air,trans_road,trans_water,trans_railway,trans_rental,cost_transport_tz,exp_cult_service,exp_sport,exp_sightseeing,mountain_climbing,hunting,gate_fees,visa_taxes,exp_shopping,exp_other,exp_other_detail,if_group_breakdown,payment_mode,payment_mode_others,if_first_trip_tz,most_impressing_tz1,most_impressing_tz2,most_impressing_tz3,most_impressing_tz4,improvement_areas1,improvement_areas2,improvement_areas3,improvement_areas4
SPANISH,KENYA,45-64,1,Alone,0,1,1,Business,,business,,Others (please specify),BEN COMING TO TZ SINCE 1995,,0,0,0,0,0,0,0,0,,0,,3,3,TZS,480000,480000,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,,
SWISS,SWIZERLAND,45-64,0,With Other Friends/Relatives,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,13,0,USD,4078,1000,200,1500,160,218,0,0,0,,0,200,0,0,0,200,240,300,0,,1,Cash,,0,Friendly People,,,Friendly People, Improve on RoadsOthers (please specify),,,
AUSTRALIAN,AUSTRALIA,45-64,1,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,1,AUD,50,1,10,3,AUD,10000,0,4000,3000,3000,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...) Improve on Roads"," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)", Improve on Roads,
SOUTH AFRICAN,SOUTH AFRICA,45-64,0,With Spouse,1,1,2,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,6,0,USD,1500,0,0,1500,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,
GERMAN,GERMANY,45-64,0,With Other Friends/Relatives,5,6,11,Business,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,1,1,1,0,EUR,2800,0,8,3,EUR,300,0,200,0,0,0,0,0,0,,0,0,60,0,0,0,0,40,0,,0,Cash,,0, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
GERMAN,SWIZERLAND,25-44,1,Alone,1,0,1,Visiting Friends and Relatives,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,15,0,USD,1700,0,0,1700,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)0",,,
AMERICAN,UNITED STATES OF AMERICA,<18,1,Alone,1,0,1,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,14,0,USD,1000,400,0,400,0,0,0,0,0,,0,0,0,0,0,0,100,100,0,,1,Cash,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)0",,,
CANADIAN,CANADA,65+,1,Alone,0,1,1,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,5,0,USD,400,0,0,400,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,Cash,,0,Friendly People,,,Friendly People,Slow airport procedures/ slow processing of VISA at Entry,,,
AMERICAN,UNITED STATES OF AMERICA,45-64,1,Alone,0,1,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,8,0,USD,2500,1300,0,1200,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,0,Friendly People,,,Friendly People, Improve on Roads Improve on Security/Safety,,,
ITALIAN,ITALY,25-44,1,,0,1,1,Meetings and Conference,,Beach tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,4,0,TZS,200000,150000,0,50000,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,0,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife,Wider AcceptabSlow/poor customer services,,,
